"splunk_app",description,"rule_name_short","technique_id"
"Splunk User Behavior Analytics","Triggered when an application is executed on an endpoint or server. Blacklisted applications are pre-defined in UBA and updated on a regular basis.","Blacklisted Application",TA0002
"Splunk User Behavior Analytics","Triggered off of DNS and/or HTTP data, this anomaly compares domains that are visted against the internal UBA blacklist. If sites match, the anomaly is created.","Blacklisted Domain",T1094
"Splunk User Behavior Analytics","Triggered off of DNS and/or HTTP data, this anomaly compares domains that are visted against the internal UBA blacklist. If sites match, the anomaly is created.","Blacklisted Domain",T1095
"Splunk User Behavior Analytics","Triggered off of DNS and/or HTTP data, this anomaly compares domains that are visted against the internal UBA blacklist. If sites match, the anomaly is created.","Blacklisted Domain",T1071
"Splunk User Behavior Analytics","Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.","Blacklisted IP Address",T1094
"Splunk User Behavior Analytics","Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.","Blacklisted IP Address",T1095
"Splunk User Behavior Analytics","Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.","Blacklisted IP Address",T1071
"Splunk User Behavior Analytics","Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.","Blacklisted IP Address",T1048
"Splunk User Behavior Analytics","Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.","Blacklisted IP Address",T1041
"Splunk User Behavior Analytics","Triggered off of authentication attempts and/or number of devices a user has access to over time. Identifies possible brute force attacks inside of an environment.","Brute Force Attack",T1110
"Splunk User Behavior Analytics","Triggered off of accounting information from firewall data (bytes in/out) to determine an unusually high volume of downloaded data per user from UBA defined internal servers.","Download from Internal Server",T1039
"Splunk User Behavior Analytics","Triggered off of accounting information from firewall data (bytes in/out) to determine an unusually high volume of downloaded data per user from UBA defined internal servers.","Download from Internal Server",T1213
"Splunk User Behavior Analytics","Triggered when there is more than expected data transfer for a user or device. This anomaly will often be included in a data exfiltration attempt.","Excessive Data Transmission",T1048
"Splunk User Behavior Analytics","Triggered when there is more than expected data transfer for a user or device. This anomaly will often be included in a data exfiltration attempt.","Excessive Data Transmission",T1041
"Splunk User Behavior Analytics","This anomaly detects malicious incoming traffic on websites (e.g., SQL injection).","External Website Attack",T1190
"Splunk User Behavior Analytics","This anomaly detects malicious incoming traffic on websites (e.g., SQL injection).","External Website Attack",T1293
"Splunk User Behavior Analytics","Trigged when acess to a badge panel (door or otherwise) is denied because the badge is disabled. Disabled doe not neceissarly mean terminated.","Failed Access by Disabled Badge",T1302
"Splunk User Behavior Analytics","Trigged when acess to a badge panel (door or otherwise) is denied because the badge is disabled. Disabled doe not neceissarly mean terminated.","Failed Access by Disabled Badge",T1360
"Splunk User Behavior Analytics","Triggered by users logging into VPN session from multiple locations within a short amount of time.","Land Speed Violation",T1078
"Splunk User Behavior Analytics","Triggered when an account is created on a workstation or endpoint. This is a local Windows account when the machine is joined to a domain.","Local Account Creation",T1136
"Splunk User Behavior Analytics","Triggered by devices that have recurring machine generated traffic. Looking at both web and network traffic.","Machine Generated Beacon",T1094
"Splunk User Behavior Analytics","Triggered by devices that have recurring machine generated traffic. Looking at both web and network traffic.","Machine Generated Beacon",T1071
"Splunk User Behavior Analytics","Triggered by devices that have recurring machine generated traffic. Looking at both web and network traffic.","Machine Generated Beacon",T1095
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods that look at Windows Event Logs for malicious activity (e.g., clearning audit logs). Check associated detection methods for an exhastive list of what triggers this anomaly.","Malicious AD Activity",T1078
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods that look at Windows Event Logs for malicious activity (e.g., clearning audit logs). Check associated detection methods for an exhastive list of what triggers this anomaly.","Malicious AD Activity",T1097
"Splunk User Behavior Analytics","Triggered when a user fails authentication multiple times. This anomaly is only  triggered when the number of authentication failures exceeds the enterprise average.","Multiple Authentication Failures",T1110
"Splunk User Behavior Analytics","Triggered on outliers of number of successes and failures per user authenticating against services or machines.","Multiple Authentications",T1078
"Splunk User Behavior Analytics","Triggered on outliers of number of successes and failures per user authenticating against services or machines.","Multiple Authentications",T1110
"Splunk User Behavior Analytics","Triggered by the total number of  Box logins per user per day based on historical baseline. These are successful logins only.","Multiple Box logins",T1078
"Splunk User Behavior Analytics","Triggered by a high volume of box operations by user. The number of operations  is compared to the enterprise average.","Multiple Box operations",TA0009
"Splunk User Behavior Analytics","Triggered when multiple users fail to badge in at a single badge-in access point. This could be used to detect both a physical brute force attack or faulty hardware.","Multiple Failed Badge Access Attempts",T1360
"Splunk User Behavior Analytics","Triggered when multiple users fail to badge in at a single badge-in access point. This could be used to detect both a physical brute force attack or faulty hardware.","Multiple Failed Badge Access Attempts",T1302
"Splunk User Behavior Analytics","Triggered when the number of successful logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including lateral movement, account takeover, or just general suspicious behavior.","Multiple Logins",T1078
"Splunk User Behavior Analytics","Triggered when the number of successful logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including lateral movement, account takeover, or just general suspicious behavior.","Multiple Logins",T1028
