"_mkv_child",description,"rule_name_short","splunk_app","tactic_id","tactic_name",technique,"technique_id","technique_name"
0,"Triggered when an application is executed on an endpoint or server. Blacklisted applications are pre-defined in UBA and updated on a regular basis.","Blacklisted Application","Splunk User Behavior Analytics",,,"",TA0002,
0,"Triggered off of DNS and/or HTTP data, this anomaly compares domains that are visted against the internal UBA blacklist. If sites match, the anomaly is created.","Blacklisted Domain","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Custom Command and Control Protocol",T1094,"Custom Command and Control Protocol"
0,"Triggered off of DNS and/or HTTP data, this anomaly compares domains that are visted against the internal UBA blacklist. If sites match, the anomaly is created.","Blacklisted Domain","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Standard Non-Application Layer Protocol",T1095,"Standard Non-Application Layer Protocol"
0,"Triggered off of DNS and/or HTTP data, this anomaly compares domains that are visted against the internal UBA blacklist. If sites match, the anomaly is created.","Blacklisted Domain","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Standard Application Layer Protocol",T1071,"Standard Application Layer Protocol"
0,"Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.","Blacklisted IP Address","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Custom Command and Control Protocol",T1094,"Custom Command and Control Protocol"
0,"Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.","Blacklisted IP Address","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Standard Non-Application Layer Protocol",T1095,"Standard Non-Application Layer Protocol"
0,"Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.","Blacklisted IP Address","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Standard Application Layer Protocol",T1071,"Standard Application Layer Protocol"
0,"Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.","Blacklisted IP Address","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Alternative Protocol",T1048,"Exfiltration Over Alternative Protocol"
0,"Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.","Blacklisted IP Address","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Command and Control Channel",T1041,"Exfiltration Over Command and Control Channel"
0,"Triggered off of authentication attempts and/or number of devices a user has access to over time. Identifies possible brute force attacks inside of an environment.","Brute Force Attack","Splunk User Behavior Analytics",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
